product_id,category,unit_price,weight_g
98,Fashion,25.53,3781
99,Sports & Outdoors,14.4,6812
100,Sports & Outdoors,136.87,4536
101,Books & Stationery,8.28,3819
102,Electronics,683.61,6456
103,Furniture,1102.59,3205
104,Fashion,82.65,7332
105,Electronics,262.49,5176
106,Books & Stationery,27.76,6457
107,Mobile Accessories,87.92,2056
108,Books & Stationery,3.52,6006
109,Home & Kitchen,151.47,5492
110,Furniture,759.15,6809
111,Toys & Games,97.83,1655
112,Furniture,335.91,5696
113,Groceries,29.13,6372
114,Furniture,164.19,1362
115,Mobile Accessories,27.12,2419
116,Books & Stationery,53.02,3457
117,Books & Stationery,45.11,1004
118,Home & Kitchen,13.3,4386
119,Home & Kitchen,69.61,458
120,Fashion,44.88,1563
121,Electronics,272.89,1755
122,Home & Kitchen,69.41,4076
123,Beauty & Personal Care,10.31,908
124,Electronics,434.69,4777
125,Toys & Games,111.51,5489
126,Groceries,25.06,4407
127,Mobile Accessories,82.05,5845
128,Mobile Accessories,13.41,2196
129,Electronics,858.28,3101
130,Beauty & Personal Care,76.27,5063
131,Home & Kitchen,203.22,207
132,Beauty & Personal Care,74.95,5471
133,Groceries,37.44,7705
134,Home & Kitchen,140.62,3934
135,Electronics,212.24,3056
136,Furniture,763.13,6190
137,Toys & Games,112.97,6834
138,Books & Stationery,45.06,6606
139,Electronics,488.45,6847
140,Mobile Accessories,11.94,2277
141,Furniture,483.07,433
142,Home & Kitchen,230.98,6935
143,Sports & Outdoors,180.32,738
144,Beauty & Personal Care,50.76,7969
145,Furniture,366.49,895
146,Home & Kitchen,98.43,6040
147,Beauty & Personal Care,81.1,4455
148,Toys & Games,101.97,1652
149,Beauty & Personal Care,71.93,4410
150,Beauty & Personal Care,43.62,4769
151,Fashion,116.4,4674
152,Furniture,343.16,3501
153,Home & Kitchen,179.31,6377
154,Mobile Accessories,53.6,3032
155,Groceries,18.82,5855
156,Toys & Games,99.5,7332
157,Home & Kitchen,234.71,1466
158,Fashion,19.01,4605
159,Toys & Games,124.76,4234
160,Books & Stationery,19.67,5486
161,Fashion,84.35,4473
162,Mobile Accessories,6.54,3729
163,Books & Stationery,20.16,7493
164,Books & Stationery,31.65,4606
165,Books & Stationery,6.2,7021
166,Books & Stationery,30.99,3477
167,Toys & Games,139.5,6867
168,Books & Stationery,9.01,5084
169,Beauty & Personal Care,69.98,4713
170,Furniture,527.03,1852
171,Toys & Games,100.35,6372
172,Furniture,356.67,7686
173,Sports & Outdoors,57.93,3049
174,Groceries,8.1,3765
175,Toys & Games,16.15,101
176,Electronics,199.66,2430
177,Mobile Accessories,81.05,233
178,Furniture,1065.13,1206
179,Sports & Outdoors,246.47,153
180,Sports & Outdoors,209.32,1917
181,Beauty & Personal Care,14.39,7110
182,Books & Stationery,19.48,277
183,Sports & Outdoors,101.22,7629
184,Furniture,344.95,4288
185,Furniture,647.11,4774
186,Mobile Accessories,66.12,1367
187,Home & Kitchen,95.65,409
188,Groceries,15.44,3013
189,Fashion,150.51,1233
190,Sports & Outdoors,239.32,3107
191,Mobile Accessories,39.7,2146
192,Beauty & Personal Care,82.67,2199
193,Sports & Outdoors,286.41,852
194,Mobile Accessories,41.9,3375
195,Mobile Accessories,45.11,7619
196,Beauty & Personal Care,47.98,6115
197,Home & Kitchen,235.87,6027
198,Books & Stationery,52.95,6595
199,Groceries,5.9,1516
200,Groceries,16.92,6864
201,Mobile Accessories,68.19,6813
202,Home & Kitchen,130.75,4976
203,Sports & Outdoors,67.83,406
204,Mobile Accessories,103.62,3225
205,Home & Kitchen,172.47,6490
206,Electronics,760.6,7651
207,Books & Stationery,51.95,2950
208,Toys & Games,113.76,3512
209,Home & Kitchen,115.41,7225
210,Beauty & Personal Care,56.9,6224
211,Mobile Accessories,22.6,7707
212,Electronics,619.34,5292
213,Toys & Games,31.81,543
214,Sports & Outdoors,211.86,4395
215,Electronics,237.45,2715
216,Furniture,194.01,4727
217,Fashion,36.43,2777
218,Furniture,62.27,5816
219,Beauty & Personal Care,66.09,1354
220,Electronics,669.86,5618
221,Toys & Games,80.15,3750
222,Mobile Accessories,22.72,4812
223,Furniture,155.25,837
224,Beauty & Personal Care,6.63,3638
225,Sports & Outdoors,59.74,6541
226,Toys & Games,134.28,1312
227,Fashion,49.54,2853
228,Home & Kitchen,95.03,3998
229,Mobile Accessories,16.22,6205
230,Electronics,231.23,4590
231,Toys & Games,80.77,2250
232,Home & Kitchen,155.86,3364
233,Furniture,339.7,3659
234,Fashion,17.93,6342
235,Fashion,75.26,4039
236,Furniture,326.99,1722
237,Groceries,10.34,3338
238,Mobile Accessories,115.34,1706
239,Furniture,762.58,5146
240,Furniture,694.84,2117
241,Beauty & Personal Care,40.34,686
242,Sports & Outdoors,135.54,6463
243,Toys & Games,83.89,2749
244,Mobile Accessories,84.79,833
245,Home & Kitchen,178.52,5602
246,Toys & Games,30.72,3569
247,Books & Stationery,31.51,2953
248,Beauty & Personal Care,40.02,2727
249,Books & Stationery,52.62,4965
250,Electronics,583.02,6405
